t,a,b,c,buffer_B,cmi_max_bulk,cmi_center,s_max
0.01,1,1,1,1,4.652882025224514e-07,4.652882025224514e-07,23
0.01,1,2,1,2,1.0792144955473759e-11,1.0792144955473759e-11,23
0.01,1,3,1,3,1.1102230246251565e-14,1.1102230246251565e-14,22
0.01,1,4,1,4,2.574284563294782e-09,2.574284563294782e-09,22
0.01,1,5,1,5,1.2546681471548027e-08,1.2546681471548027e-08,21
0.01,2,1,2,1,4.6530980435388614e-07,4.6530980435388614e-07,22
0.01,3,1,3,1,4.830050810422648e-07,4.830050810422648e-07,21
0.02,1,1,1,1,3.6421938693909084e-06,3.6421938693909084e-06,23
0.02,1,2,1,2,2.889701811170653e-10,2.889701811170653e-10,23
0.02,1,3,1,3,7.620570841027074e-13,7.620570841027074e-13,22
0.02,1,4,1,4,2.3905697421611194e-09,2.3905697421611194e-09,22
0.02,1,5,1,5,1.7224752735245374e-08,1.7224752735245374e-08,21
0.02,2,1,2,1,3.642772569811825e-06,3.642772569811825e-06,22
0.02,3,1,3,1,3.664780000800505e-06,3.664780000800505e-06,21
0.03,1,1,1,1,1.2055319473347481e-05,1.2055319473347481e-05,23
0.03,1,2,1,2,2.046192326687901e-09,2.046192326687901e-09,23
0.03,1,3,1,3,8.031353360138382e-12,8.031353360138382e-12,22
0.03,1,4,1,4,8.43769498715119e-15,8.43769498715119e-15,22
0.03,1,5,1,5,2.1760799828740574e-08,2.1760799828740574e-08,21
0.03,2,1,2,1,1.2059419884913325e-05,1.2059419884913325e-05,22
0.03,3,1,3,1,1.2081196740343358e-05,1.2081196740343358e-05,21
0.04,1,1,1,1,2.7955131510104536e-05,2.7955131510104536e-05,23
0.04,1,2,1,2,8.199552592458303e-09,8.199552592458303e-09,23
0.04,1,3,1,3,4.1161296593372754e-11,4.1161296593372754e-11,22
0.04,1,4,1,4,3.241851231905457e-14,3.241851231905457e-14,22
0.04,1,5,1,5,-7.549516567451064e-15,-7.549516567451064e-15,21
0.04,2,1,2,1,2.7971571781471027e-05,2.7971571781471027e-05,22
0.04,3,1,3,1,2.797165416801306e-05,2.797165416801306e-05,21
0.05,1,1,1,1,5.32710700982264e-05,5.32710700982264e-05,23
0.05,1,2,1,2,2.3965732509623194e-08,2.3965732509623194e-08,23
0.05,1,3,1,3,1.4341239307213982e-10,1.4341239307213982e-10,22
0.05,1,4,1,4,1.6120438317557273e-13,1.6120438317557273e-13,22
0.05,1,5,1,5,8.881784197001252e-16,8.881784197001252e-16,21
0.05,2,1,2,1,5.33191449725301e-05,5.33191449725301e-05,22
0.05,3,1,3,1,5.331943211661638e-05,5.331943211661638e-05,21
0.06,1,1,1,1,8.959180833567615e-05,8.959180833567615e-05,23
0.06,1,2,1,2,5.731657903851328e-08,5.731657903851328e-08,23
0.06,1,3,1,3,3.919677915575903e-10,3.919677915575903e-10,22
0.06,1,4,1,4,6.084022174945858e-13,6.084022174945858e-13,22
0.06,1,5,1,5,3.552713678800501e-15,3.552713678800501e-15,21
0.06,2,1,2,1,8.970683346065655e-05,8.970683346065655e-05,22
0.06,3,1,3,1,8.970761860993548e-05,8.970761860993548e-05,21
0.07,1,1,1,1,0.00013816063567162473,0.00013816063567162473,23
0.07,1,2,1,2,1.1930257359793472e-07,1.1930257359793472e-07,23
0.07,1,3,1,3,9.072782525265666e-10,9.072782525265666e-10,22
0.07,1,4,1,4,1.8252066524837574e-12,1.8252066524837574e-12,22
0.07,1,5,1,5,8.881784197001252e-15,8.881784197001252e-15,21
0.07,2,1,2,1,0.00013840014809973766,0.00013840014809973766,22
0.07,3,1,3,1,0.00013840196631864643,0.00013840196631864643,21
0.08,1,1,1,1,0.00019988080780519724,0.00019988080780519724,23
0.08,1,2,1,2,2.2424137657850451e-07,2.2424137657850451e-07,23
0.08,1,3,1,3,1.8612595908962248e-09,1.8612595908962248e-09,22
0.08,1,4,1,4,4.671818487622659e-12,4.671818487622659e-12,22
0.08,1,5,1,5,3.6415315207705135e-14,3.6415315207705135e-14,21
0.08,2,1,2,1,0.0002003311518157247,0.0002003311518157247,22
0.08,3,1,3,1,0.00020033488372561692,0.00020033488372561692,21
0.09,1,1,1,1,0.0002753279283727039,0.0002753279283727039,23
0.09,1,2,1,2,3.8976708660598547e-07,3.8976708660598547e-07,23
0.09,1,3,1,3,3.4845166752006662e-09,3.4845166752006662e-09,22
0.09,1,4,1,4,1.0603962152799795e-11,1.0603962152799795e-11,22
0.09,1,5,1,5,9.592326932761353e-14,9.592326932761353e-14,21
0.09,2,1,2,1,0.00027611094706347927,0.00027611094706347927,22
0.09,3,1,3,1,0.0002761179373953482,0.0002761179373953482,21
0.1,1,1,1,1,0.00036476743717228644,0.00036476743717228644,23
0.1,1,2,1,2,6.367382829886026e-07,6.367382829886026e-07,23
0.1,1,3,1,3,6.072548686120172e-09,6.072548686120172e-09,22
0.1,1,4,1,4,2.190425618664449e-11,2.190425618664449e-11,22
0.1,1,5,1,5,2.1227464230832993e-13,2.1227464230832993e-13,21
0.1,2,1,2,1,0.00036604698629183474,0.00036604698629183474,22
0.1,3,1,3,1,0.0003660591754135467,0.0003660591754135467,21
