t,a,b,c,buffer_B,cmi_max_bulk,cmi_center,s_max
0.01,1,1,1,1,4.6528820896174494e-07,4.652882014122284e-07,19
0.01,1,2,1,2,1.0804801497954486e-11,1.0792700066986072e-11,17
0.01,1,3,1,3,2.0872192862952943e-14,1.2434497875801753e-14,28
0.01,1,4,1,4,2.5743005505063365e-09,2.574284785339387e-09,33
0.01,1,5,1,5,1.2546688576975384e-08,1.2546671479540805e-08,24
0.01,2,1,2,1,4.653098117923804e-07,4.653098021334401e-07,10
0.01,3,1,3,1,4.830050919224504e-07,4.830050823745324e-07,17
0.02,1,1,1,1,3.642193878827804e-06,3.6421938746089566e-06,12
0.02,1,2,1,2,2.8897861881205245e-10,2.889677386264111e-10,26
0.02,1,3,1,3,7.718270467194088e-13,7.613909502879324e-13,35
0.02,1,4,1,4,2.39058284279281e-09,2.390574183053218e-09,33
0.02,1,5,1,5,1.7224755843869843e-08,1.7224748294353276e-08,13
0.02,2,1,2,1,3.64277258402268e-06,3.6427725740306727e-06,25
0.02,3,1,3,1,3.6647800083500215e-06,3.6647800083500215e-06,33
0.03,1,1,1,1,1.2055319476456106e-05,1.2055319466686143e-05,28
0.03,1,2,1,2,2.046201874605913e-09,2.0461952132677652e-09,32
0.03,1,3,1,3,8.031797449348232e-12,8.022027486731531e-12,15
0.03,1,4,1,4,1.509903313490213e-14,0.0,6
0.03,1,5,1,5,2.1760802937365042e-08,2.1760798052383734e-08,28
0.03,2,1,2,1,1.205941988802195e-05,1.2059419882692879e-05,12
0.03,3,1,3,1,1.2081196746116518e-05,1.2081196738567002e-05,12
0.04,1,1,1,1,2.7955131517209963e-05,2.7955131508550224e-05,8
0.04,1,2,1,2,8.199558809707241e-09,8.199557477439612e-09,31
0.04,1,3,1,3,4.1173731091248555e-11,4.1163961128631854e-11,37
0.04,1,4,1,4,3.552713678800501e-14,3.552713678800501e-14,22
0.04,1,5,1,5,5.773159728050814e-15,-6.217248937900877e-15,26
0.04,2,1,2,1,2.7971571793017347e-05,2.7971571782803295e-05,7
0.04,3,1,3,1,2.797165418577663e-05,2.7971654170233506e-05,6
0.05,1,1,1,1,5.327107010399956e-05,5.3271070100224804e-05,26
0.05,1,2,1,2,2.3965733397801614e-08,2.3965729845087935e-08,31
0.05,1,3,1,3,1.4341683396423832e-10,1.4341239307213982e-10,16
0.05,1,4,1,4,1.6919798895287386e-13,1.6298074001497298e-13,28
0.05,1,5,1,5,0.0,-9.769962616701378e-15,24
0.05,2,1,2,1,5.331914497697099e-05,5.3319144972974186e-05,12
0.05,3,1,3,1,5.3319432121057275e-05,5.331943211128731e-05,27
0.06,1,1,1,1,8.959180834011704e-05,8.959180833256752e-05,16
0.06,1,2,1,2,5.73165843675838e-08,5.731658037078091e-08,32
0.06,1,3,1,3,3.9197445289573807e-10,3.919633506654918e-10,16
0.06,1,4,1,4,6.084022174945858e-13,6.066258606551855e-13,33
0.06,1,5,1,5,7.993605777301127e-15,6.217248937900877e-15,6
0.06,2,1,2,1,8.970683346420927e-05,8.970683345577157e-05,12
0.06,3,1,3,1,8.97076186134882e-05,8.970761860638277e-05,31
0.07,1,1,1,1,0.00013816063567562153,0.00013816063566718384,38
0.07,1,2,1,2,1.1930258425607576e-07,1.1930257581838077e-07,31
0.07,1,3,1,3,9.072853579539242e-10,9.072809170618257e-10,18
0.07,1,4,1,4,1.830535723001958e-12,1.8243184740640572e-12,19
0.07,1,5,1,5,1.2434497875801753e-14,7.993605777301127e-15,24
0.07,2,1,2,1,0.00013840014811261625,0.0001384001481024022,30
0.07,3,1,3,1,0.0001384019663195346,0.00013840196630887647,11
0.08,1,1,1,1,0.00019988080781319084,0.00019988080780741768,33
0.08,1,2,1,2,2.2424137835486135e-07,2.2424137080534479e-07,7
0.08,1,3,1,3,1.8612702490372612e-09,1.861262255431484e-09,14
0.08,1,4,1,4,4.6771475581408595e-12,4.670930309202959e-12,36
0.08,1,5,1,5,4.529709940470639e-14,3.4638958368304884e-14,6
0.08,2,1,2,1,0.00020033115182194194,0.00020033115181306016,8
0.08,3,1,3,1,0.00020033488373272235,0.00020033488371939967,31
0.09,1,1,1,1,0.0002753279283820298,0.00027532792837536846,8
0.09,1,2,1,2,3.897670932673236e-07,3.897670883823423e-07,37
0.09,1,3,1,3,3.484517563379086e-09,3.4845166752006662e-09,36
0.09,1,4,1,4,1.0611955758577096e-11,1.0605738509639195e-11,33
0.09,1,5,1,5,9.681144774731365e-14,9.681144774731365e-14,21
0.09,2,1,2,1,0.00027611094707236106,0.00027611094706347927,31
0.09,3,1,3,1,0.00027611793740156543,0.00027611793740156543,30
0.1,1,1,1,1,0.0003647674371771714,0.00036476743717184235,32
0.1,1,2,1,2,6.367382918703868e-07,6.367382883176731e-07,16
0.1,1,3,1,3,6.072555791547529e-09,6.072546909763332e-09,34
0.1,1,4,1,4,2.190958525716269e-11,2.190425618664449e-11,37
0.1,1,5,1,5,2.1316282072803006e-13,2.0161650127192843e-13,19
0.1,2,1,2,1,0.0003660469863007165,0.0003660469862936111,8
0.1,3,1,3,1,0.00036605917541532307,0.00036605917540377675,19
