depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
3,1,0.1,0.6936556527013279,0.02192913369574577,1.2081880405345933,0.0378801295973288
3,2,0.1,0.9731165112928081,0.017482882047666536,1.79106072051766,0.028639767432321474
3,3,0.1,0.040347955126269125,0.001751930752280134,0.14968352353445286,0.005965096059462746
3,4,0.1,0.04549028666930575,0.0018334271566497716,0.14894846311777843,0.0065981663544061025
3,5,0.1,0.0007023003631746505,3.593001359239868e-05,0.002045394665830944,0.0001010526420413
3,6,0.1,0.0009238423001437112,3.818538642180553e-05,0.0022906176148921277,0.00012147150401035915
3,7,0.1,1.2903562057751117e-05,7.927032958008356e-07,2.775066398676529e-05,1.5839040215006889e-06
3,8,0.1,1.5196845039895379e-05,7.96781644622687e-07,2.6820522640527143e-05,1.7286269688877685e-06
3,9,0.1,2.163502973218101e-07,1.535320734761982e-08,3.400379165441336e-07,2.3604273041575827e-08
3,10,0.1,2.444344028873502e-07,1.8064868414905617e-08,3.3206905893479187e-07,2.780817389666516e-08
3,11,0.1,3.212785344430813e-09,2.8635791313667605e-10,3.947743678622828e-09,3.686201175560327e-10
3,12,0.1,3.8327156204331915e-09,3.823682437168711e-10,3.85044184980643e-09,4.2498363452611497e-10
3,13,0.1,3.643997104063601e-11,5.063349836815908e-12,3.3502587371003754e-11,4.615544220526591e-12
3,14,0.1,1.684796302470204e-11,6.162055161223139e-12,1.1714078596014587e-11,4.597581360915791e-12
