depth,b,p,ivn_mean,ivn_sem,ir2_mean,ir2_sem
4,1,0.05,0.8972543203741093,0.029231283969070182,1.432031307721902,0.044308466387711416
4,2,0.05,0.9150464709809374,0.022678336296525006,1.5212463409007873,0.03542283964101606
4,3,0.05,0.6816618197649943,0.022370202430970054,1.1516521127980552,0.03644053131312555
4,4,0.05,0.1459963709897838,0.006337770297490536,0.23567830676296098,0.010951623256509583
4,5,0.05,0.027493668267698935,0.001023986617174525,0.04664404712000174,0.0028789739826264715
4,6,0.05,0.014574843410527194,0.00091396241255102,0.01482954905271333,0.0018933120804542321
4,7,0.05,0.0016688196468756188,9.927106969277539e-05,0.0010114796868514197,0.0001108461078734227
4,8,0.05,0.0007052476336378532,5.127170742916427e-05,0.00018381449737386646,2.3486851367911894e-05
4,9,0.05,9.043384220017714e-05,8.096406631118615e-06,2.0006061888757643e-05,3.1779974876439168e-06
4,10,0.05,3.3554139659095484e-05,3.108277137818187e-06,3.833506716972579e-06,6.798744430339448e-07
4,11,0.05,4.55821130994849e-06,4.779200857249089e-07,3.5027410049792707e-07,5.979598813854284e-08
4,12,0.05,1.851360263742663e-06,2.1211791676284775e-07,6.036644290219328e-08,1.144314756943078e-08
