depth,p,n,real,b,ivn_max,ir2_max,a_at_max
4,0.02,12,0,1,3.291919773245076,4.000730587158408,7
4,0.02,12,0,2,1.9048229243551917,2.191885517554601,7
4,0.02,12,0,3,0.912766591047931,1.0647342915834352,3
4,0.02,12,0,4,0.09736422666878841,0.04589280069451185,5
4,0.02,12,0,5,0.040475778627389936,0.039439579002403136,3
4,0.02,12,0,6,0.020708922244282668,0.01847776239899801,3
4,0.02,12,0,7,0.0019514218513760895,0.0002775543753807952,3
4,0.02,12,0,8,0.00023675492729058334,5.764622441617462e-06,1
4,0.02,12,0,9,2.2120510142720207e-05,9.043321114177161e-08,1
4,0.02,12,0,10,2.618299395074075e-06,7.992717598881427e-10,1
4,0.02,12,1,1,3.0336469947553333,3.768026419233731,5
4,0.02,12,1,2,1.4995218991685846,1.8951382888697843,3
4,0.02,12,1,3,0.8193009526802335,0.9845558651917221,3
4,0.02,12,1,4,0.07841816048754513,0.026602668303411292,2
4,0.02,12,1,5,0.01318559560965582,0.0005556465820939493,1
4,0.02,12,1,6,0.00030448090231249836,1.955190945146512e-06,2
4,0.02,12,1,7,3.014230292919251e-05,3.8963523962820545e-08,1
4,0.02,12,1,8,2.582469223355588e-06,1.3777921026303375e-09,3
4,0.02,12,1,9,2.893277990523302e-07,2.62350141611023e-11,2
4,0.02,12,1,10,2.740816285040637e-08,5.258016244624741e-13,1
4,0.02,12,2,1,3.2803789249909094,3.9496094679865212,4
4,0.02,12,2,2,2.423958414607174,2.9047123241750716,4
4,0.02,12,2,3,0.9726697330976037,1.0828755403618997,3
4,0.02,12,2,4,0.06169241305713147,0.030409816299643566,2
4,0.02,12,2,5,0.02766727089374399,0.00393310278683856,4
4,0.02,12,2,6,0.0031050461030890375,0.00011514749409702318,4
4,0.02,12,2,7,0.0006895260846464524,1.0069368043374993e-05,2
4,0.02,12,2,8,0.0001004786147440484,8.135214581983519e-07,1
4,0.02,12,2,9,1.3730364411657092e-05,2.195946180449937e-08,1
4,0.02,12,2,10,-5.329070518200751e-15,0.0,1
4,0.02,12,3,1,4.369151908172444,5.46997937226107,5
4,0.02,12,3,2,2.4771082330406298,3.0061513451819533,5
